Trans id,Member id,Store id,Date
02-01-2020_02:18:09_59_1,59,1,2020-01-02
02-01-2020_21:22:19_18_1,18,1,2020-01-02
03-01-2020_13:54:42_64_2,64,2,2020-01-03
03-01-2020_10:45:34_14_3,14,3,2020-01-03
03-01-2020_03:24:34_30_1,30,1,2020-01-03
03-01-2020_08:39:52_59_2,59,2,2020-01-03
03-01-2020_07:22:13_25_2,25,2,2020-01-03
03-01-2020_10:35:37_87_2,87,2,2020-01-03
03-01-2020_01:17:29_90_2,90,2,2020-01-03
03-01-2020_03:38:44_86_3,86,3,2020-01-03
03-01-2020_21:54:54_9_3,9,3,2020-01-03
03-01-2020_11:25:25_96_2,96,2,2020-01-03
03-01-2020_20:05:35_67_3,67,3,2020-01-03
03-01-2020_08:57:52_71_3,71,3,2020-01-03
03-01-2020_13:41:28_25_3,25,3,2020-01-03
03-01-2020_08:06:10_65_2,65,2,2020-01-03
03-01-2020_15:44:53_27_3,27,3,2020-01-03
03-01-2020_01:49:32_99_3,99,3,2020-01-03
03-01-2020_17:19:31_50_1,50,1,2020-01-03
03-01-2020_19:11:04_23_2,23,2,2020-01-03
03-01-2020_17:51:47_99_1,99,1,2020-01-03
03-01-2020_02:07:33_53_1,53,1,2020-01-03
03-01-2020_05:15:37_62_2,62,2,2020-01-03
03-01-2020_07:54:17_42_3,42,3,2020-01-03
03-01-2020_22:26:44_69_1,69,1,2020-01-03
03-01-2020_11:59:59_41_1,41,1,2020-01-03
03-01-2020_18:54:29_94_3,94,3,2020-01-03
03-01-2020_10:15:16_97_1,97,1,2020-01-03
03-01-2020_10:12:29_46_1,46,1,2020-01-03
03-01-2020_10:04:56_26_1,26,1,2020-01-03
03-01-2020_10:41:04_27_2,27,2,2020-01-03
03-01-2020_02:51:11_33_1,33,1,2020-01-03
03-01-2020_12:08:24_50_1,50,1,2020-01-03
03-01-2020_19:13:34_16_1,16,1,2020-01-03
03-01-2020_07:37:38_31_1,31,1,2020-01-03
03-01-2020_08:47:46_11_2,11,2,2020-01-03
03-01-2020_03:30:46_92_3,92,3,2020-01-03
04-01-2020_23:35:50_92_1,92,1,2020-01-04
04-01-2020_16:43:39_53_3,53,3,2020-01-04
04-01-2020_22:14:33_3_3,3,3,2020-01-04
04-01-2020_14:04:53_8_3,8,3,2020-01-04
04-01-2020_18:04:29_70_1,70,1,2020-01-04
04-01-2020_01:40:56_8_2,8,2,2020-01-04
04-01-2020_14:11:02_93_1,93,1,2020-01-04
04-01-2020_16:01:42_82_1,82,1,2020-01-04
04-01-2020_14:55:06_46_1,46,1,2020-01-04
04-01-2020_10:44:03_52_2,52,2,2020-01-04
04-01-2020_11:14:12_32_3,32,3,2020-01-04
04-01-2020_09:48:49_37_1,37,1,2020-01-04
04-01-2020_20:04:59_40_2,40,2,2020-01-04
04-01-2020_21:49:45_29_2,29,2,2020-01-04
04-01-2020_02:03:54_51_3,51,3,2020-01-04
04-01-2020_21:27:13_79_1,79,1,2020-01-04
04-01-2020_22:30:22_35_2,35,2,2020-01-04
04-01-2020_20:31:41_36_3,36,3,2020-01-04
04-01-2020_17:29:10_26_3,26,3,2020-01-04
04-01-2020_06:21:17_69_3,69,3,2020-01-04
04-01-2020_07:35:52_8_1,8,1,2020-01-04
04-01-2020_16:38:37_37_2,37,2,2020-01-04
04-01-2020_04:17:59_40_3,40,3,2020-01-04
04-01-2020_03:04:15_87_3,87,3,2020-01-04
05-01-2020_18:14:03_86_3,86,3,2020-01-05
05-01-2020_14:22:54_29_3,29,3,2020-01-05
05-01-2020_23:41:35_77_1,77,1,2020-01-05
05-01-2020_13:20:15_89_3,89,3,2020-01-05
05-01-2020_18:39:51_30_1,30,1,2020-01-05
05-01-2020_22:50:23_64_1,64,1,2020-01-05
05-01-2020_12:03:25_27_2,27,2,2020-01-05
05-01-2020_10:49:28_81_3,81,3,2020-01-05
05-01-2020_04:44:50_50_2,50,2,2020-01-05
05-01-2020_03:09:41_94_3,94,3,2020-01-05
05-01-2020_09:35:49_4_2,4,2,2020-01-05
05-01-2020_18:18:07_54_3,54,3,2020-01-05
05-01-2020_04:07:40_26_1,26,1,2020-01-05
05-01-2020_21:20:36_34_1,34,1,2020-01-05
05-01-2020_14:26:05_9_2,9,2,2020-01-05
05-01-2020_23:01:03_14_1,14,1,2020-01-05
05-01-2020_03:18:50_64_1,64,1,2020-01-05
05-01-2020_14:25:22_32_3,32,3,2020-01-05
05-01-2020_20:35:28_9_1,9,1,2020-01-05
05-01-2020_06:57:02_10_1,10,1,2020-01-05
05-01-2020_14:55:35_11_2,11,2,2020-01-05
05-01-2020_22:25:32_92_1,92,1,2020-01-05
05-01-2020_22:46:06_93_2,93,2,2020-01-05
05-01-2020_09:13:52_34_2,34,2,2020-01-05
05-01-2020_02:49:23_78_1,78,1,2020-01-05
05-01-2020_13:43:10_19_3,19,3,2020-01-05
05-01-2020_23:52:43_55_2,55,2,2020-01-05
05-01-2020_07:01:48_24_1,24,1,2020-01-05
06-01-2020_23:22:35_22_3,22,3,2020-01-06
06-01-2020_03:49:13_91_3,91,3,2020-01-06
06-01-2020_20:45:05_55_3,55,3,2020-01-06
06-01-2020_05:22:25_6_2,6,2,2020-01-06
06-01-2020_19:34:29_87_1,87,1,2020-01-06
06-01-2020_06:18:59_93_1,93,1,2020-01-06
06-01-2020_17:41:29_38_1,38,1,2020-01-06
06-01-2020_17:07:31_11_1,11,1,2020-01-06
06-01-2020_13:10:21_74_2,74,2,2020-01-06
06-01-2020_03:12:17_55_1,55,1,2020-01-06
06-01-2020_21:29:48_62_3,62,3,2020-01-06
06-01-2020_23:32:23_58_1,58,1,2020-01-06
06-01-2020_22:28:59_79_2,79,2,2020-01-06
06-01-2020_20:10:19_98_2,98,2,2020-01-06
06-01-2020_23:36:22_68_3,68,3,2020-01-06
06-01-2020_21:09:54_99_2,99,2,2020-01-06
06-01-2020_17:32:39_43_3,43,3,2020-01-06
06-01-2020_14:46:07_2_1,2,1,2020-01-06
06-01-2020_06:10:54_27_1,27,1,2020-01-06
06-01-2020_09:40:52_51_1,51,1,2020-01-06
06-01-2020_11:32:55_80_1,80,1,2020-01-06
06-01-2020_12:49:54_55_3,55,3,2020-01-06
06-01-2020_03:21:47_85_2,85,2,2020-01-06
06-01-2020_16:08:40_5_3,5,3,2020-01-06
06-01-2020_20:14:35_33_3,33,3,2020-01-06
06-01-2020_15:02:12_16_2,16,2,2020-01-06
06-01-2020_14:09:35_51_1,51,1,2020-01-06
06-01-2020_04:14:08_75_1,75,1,2020-01-06
06-01-2020_05:01:24_12_2,12,2,2020-01-06
06-01-2020_04:16:38_50_2,50,2,2020-01-06
06-01-2020_04:42:15_69_3,69,3,2020-01-06
06-01-2020_11:28:09_28_2,28,2,2020-01-06
06-01-2020_15:14:04_96_2,96,2,2020-01-06
06-01-2020_15:51:23_46_2,46,2,2020-01-06
06-01-2020_10:33:19_19_2,19,2,2020-01-06
07-01-2020_08:36:50_6_2,6,2,2020-01-07
07-01-2020_04:50:38_100_3,100,3,2020-01-07
07-01-2020_03:46:24_72_1,72,1,2020-01-07
07-01-2020_08:02:43_1_2,1,2,2020-01-07
07-01-2020_03:56:38_61_1,61,1,2020-01-07
07-01-2020_06:50:10_60_2,60,2,2020-01-07
07-01-2020_05:29:19_83_1,83,1,2020-01-07
07-01-2020_20:23:40_63_3,63,3,2020-01-07
07-01-2020_12:13:40_11_1,11,1,2020-01-07
07-01-2020_15:20:07_92_1,92,1,2020-01-07
07-01-2020_02:20:27_33_1,33,1,2020-01-07
07-01-2020_22:42:40_86_3,86,3,2020-01-07
07-01-2020_07:35:24_51_1,51,1,2020-01-07
07-01-2020_01:57:46_12_3,12,3,2020-01-07
07-01-2020_02:57:09_92_3,92,3,2020-01-07
07-01-2020_07:21:35_9_3,9,3,2020-01-07
07-01-2020_08:35:11_9_1,9,1,2020-01-07
07-01-2020_10:15:12_16_2,16,2,2020-01-07
07-01-2020_19:25:51_7_2,7,2,2020-01-07
07-01-2020_04:57:07_92_1,92,1,2020-01-07
07-01-2020_18:09:54_38_1,38,1,2020-01-07
07-01-2020_08:26:59_64_3,64,3,2020-01-07
07-01-2020_14:17:26_61_3,61,3,2020-01-07
07-01-2020_01:57:23_12_2,12,2,2020-01-07
07-01-2020_20:12:48_28_1,28,1,2020-01-07
07-01-2020_17:40:45_31_3,31,3,2020-01-07
07-01-2020_06:41:36_25_1,25,1,2020-01-07
07-01-2020_09:02:43_47_3,47,3,2020-01-07
07-01-2020_14:06:54_94_2,94,2,2020-01-07
07-01-2020_22:58:38_22_3,22,3,2020-01-07
07-01-2020_13:27:01_39_2,39,2,2020-01-07
07-01-2020_11:36:17_65_2,65,2,2020-01-07
07-01-2020_10:08:40_11_3,11,3,2020-01-07
07-01-2020_21:15:25_69_2,69,2,2020-01-07
07-01-2020_06:48:40_88_3,88,3,2020-01-07
07-01-2020_03:30:19_49_2,49,2,2020-01-07
07-01-2020_11:41:25_37_2,37,2,2020-01-07
07-01-2020_12:24:36_73_1,73,1,2020-01-07
07-01-2020_18:52:20_53_3,53,3,2020-01-07
08-01-2020_02:24:23_26_1,26,1,2020-01-08
08-01-2020_20:57:41_66_2,66,2,2020-01-08
08-01-2020_16:35:57_61_1,61,1,2020-01-08
08-01-2020_14:23:44_6_2,6,2,2020-01-08
08-01-2020_01:05:26_2_3,2,3,2020-01-08
08-01-2020_05:53:04_48_1,48,1,2020-01-08
08-01-2020_15:51:01_99_1,99,1,2020-01-08
08-01-2020_01:12:54_15_1,15,1,2020-01-08
08-01-2020_15:11:15_27_3,27,3,2020-01-08
08-01-2020_17:49:05_49_1,49,1,2020-01-08
08-01-2020_03:05:22_3_2,3,2,2020-01-08
08-01-2020_03:59:22_2_2,2,2,2020-01-08
08-01-2020_10:33:22_1_2,1,2,2020-01-08
08-01-2020_01:13:23_15_3,15,3,2020-01-08
08-01-2020_13:37:54_5_2,5,2,2020-01-08
08-01-2020_07:19:01_43_2,43,2,2020-01-08
08-01-2020_12:09:08_16_2,16,2,2020-01-08
08-01-2020_14:35:24_92_1,92,1,2020-01-08
08-01-2020_01:36:04_46_2,46,2,2020-01-08
08-01-2020_10:22:46_7_1,7,1,2020-01-08
08-01-2020_03:32:36_97_3,97,3,2020-01-08
08-01-2020_12:28:33_9_1,9,1,2020-01-08
08-01-2020_17:50:33_77_2,77,2,2020-01-08
08-01-2020_16:49:42_62_2,62,2,2020-01-08
09-01-2020_12:20:59_16_3,16,3,2020-01-09
09-01-2020_08:17:47_32_3,32,3,2020-01-09
09-01-2020_08:56:49_57_1,57,1,2020-01-09
09-01-2020_12:42:27_41_2,41,2,2020-01-09
09-01-2020_13:54:29_17_2,17,2,2020-01-09
09-01-2020_23:05:30_62_2,62,2,2020-01-09
09-01-2020_21:26:37_9_1,9,1,2020-01-09
09-01-2020_05:06:31_70_3,70,3,2020-01-09
09-01-2020_06:46:10_88_3,88,3,2020-01-09
09-01-2020_09:02:05_8_1,8,1,2020-01-09
09-01-2020_17:54:13_65_2,65,2,2020-01-09
09-01-2020_18:36:42_47_3,47,3,2020-01-09
09-01-2020_07:30:24_17_1,17,1,2020-01-09
09-01-2020_15:13:29_19_1,19,1,2020-01-09
09-01-2020_09:19:27_40_1,40,1,2020-01-09
09-01-2020_06:41:35_77_2,77,2,2020-01-09
09-01-2020_14:04:18_36_1,36,1,2020-01-09
09-01-2020_15:50:13_34_3,34,3,2020-01-09
09-01-2020_06:06:52_16_2,16,2,2020-01-09
09-01-2020_13:42:19_5_3,5,3,2020-01-09
09-01-2020_10:40:52_83_2,83,2,2020-01-09
09-01-2020_16:28:12_53_3,53,3,2020-01-09
09-01-2020_07:48:30_51_3,51,3,2020-01-09
09-01-2020_21:11:59_93_1,93,1,2020-01-09
09-01-2020_23:58:22_2_1,2,1,2020-01-09
09-01-2020_22:02:42_42_3,42,3,2020-01-09
09-01-2020_18:01:44_43_2,43,2,2020-01-09
09-01-2020_15:23:33_100_1,100,1,2020-01-09
09-01-2020_19:11:25_3_3,3,3,2020-01-09
09-01-2020_16:06:17_50_3,50,3,2020-01-09
09-01-2020_09:53:46_31_2,31,2,2020-01-09
09-01-2020_06:32:45_50_3,50,3,2020-01-09
09-01-2020_12:44:37_33_1,33,1,2020-01-09
09-01-2020_02:26:47_98_2,98,2,2020-01-09
09-01-2020_10:03:23_69_1,69,1,2020-01-09
09-01-2020_06:49:02_99_1,99,1,2020-01-09
09-01-2020_05:50:22_92_2,92,2,2020-01-09
09-01-2020_18:55:21_78_3,78,3,2020-01-09
09-01-2020_14:31:38_5_3,5,3,2020-01-09
09-01-2020_10:24:10_54_2,54,2,2020-01-09
10-01-2020_14:29:28_59_3,59,3,2020-01-10
10-01-2020_04:33:13_16_2,16,2,2020-01-10
10-01-2020_18:19:09_9_2,9,2,2020-01-10
10-01-2020_14:17:05_1_2,1,2,2020-01-10
10-01-2020_22:49:05_52_1,52,1,2020-01-10
10-01-2020_08:43:35_11_3,11,3,2020-01-10
10-01-2020_13:16:14_45_1,45,1,2020-01-10
10-01-2020_13:18:46_93_3,93,3,2020-01-10
10-01-2020_22:26:32_18_2,18,2,2020-01-10
10-01-2020_08:20:12_93_1,93,1,2020-01-10
10-01-2020_17:36:06_30_2,30,2,2020-01-10
10-01-2020_18:42:34_86_3,86,3,2020-01-10
10-01-2020_17:47:50_41_3,41,3,2020-01-10
10-01-2020_04:02:51_51_2,51,2,2020-01-10
10-01-2020_16:49:20_3_1,3,1,2020-01-10
10-01-2020_12:36:49_11_1,11,1,2020-01-10
10-01-2020_19:40:32_8_2,8,2,2020-01-10
10-01-2020_05:16:29_87_2,87,2,2020-01-10
10-01-2020_09:56:47_49_2,49,2,2020-01-10
10-01-2020_08:41:03_13_3,13,3,2020-01-10
10-01-2020_04:01:45_51_3,51,3,2020-01-10
10-01-2020_11:14:36_8_3,8,3,2020-01-10
10-01-2020_11:08:40_10_3,10,3,2020-01-10
10-01-2020_13:34:22_21_2,21,2,2020-01-10
10-01-2020_03:35:40_91_1,91,1,2020-01-10
10-01-2020_13:14:05_59_1,59,1,2020-01-10
10-01-2020_12:29:38_49_3,49,3,2020-01-10
10-01-2020_16:21:21_39_1,39,1,2020-01-10
10-01-2020_16:55:19_32_2,32,2,2020-01-10
10-01-2020_15:26:38_46_3,46,3,2020-01-10
10-01-2020_20:15:58_98_2,98,2,2020-01-10
10-01-2020_19:52:02_73_2,73,2,2020-01-10
10-01-2020_05:10:48_96_2,96,2,2020-01-10
10-01-2020_07:51:01_38_1,38,1,2020-01-10
11-01-2020_10:09:53_4_2,4,2,2020-01-11
11-01-2020_15:16:54_27_1,27,1,2020-01-11
11-01-2020_12:59:22_15_3,15,3,2020-01-11
11-01-2020_20:21:09_65_2,65,2,2020-01-11
11-01-2020_16:20:56_20_2,20,2,2020-01-11
11-01-2020_10:46:29_14_3,14,3,2020-01-11
11-01-2020_23:31:46_19_1,19,1,2020-01-11
11-01-2020_09:56:54_8_3,8,3,2020-01-11
11-01-2020_15:03:39_93_3,93,3,2020-01-11
11-01-2020_22:10:26_48_2,48,2,2020-01-11
11-01-2020_08:22:08_55_2,55,2,2020-01-11
11-01-2020_11:11:33_56_3,56,3,2020-01-11
11-01-2020_10:51:49_68_2,68,2,2020-01-11
11-01-2020_23:57:55_64_3,64,3,2020-01-11
11-01-2020_17:15:49_22_2,22,2,2020-01-11
11-01-2020_21:20:49_79_2,79,2,2020-01-11
11-01-2020_12:02:51_24_2,24,2,2020-01-11
11-01-2020_17:13:54_20_1,20,1,2020-01-11
11-01-2020_16:39:14_6_1,6,1,2020-01-11
11-01-2020_06:54:16_35_3,35,3,2020-01-11
11-01-2020_17:03:04_43_2,43,2,2020-01-11
11-01-2020_16:52:34_100_3,100,3,2020-01-11
11-01-2020_08:29:10_100_1,100,1,2020-01-11
12-01-2020_10:34:36_47_3,47,3,2020-01-12
12-01-2020_01:58:45_89_1,89,1,2020-01-12
12-01-2020_02:21:22_31_3,31,3,2020-01-12
12-01-2020_12:49:28_69_3,69,3,2020-01-12
12-01-2020_18:14:07_4_2,4,2,2020-01-12
12-01-2020_12:17:24_29_3,29,3,2020-01-12
12-01-2020_11:37:54_25_3,25,3,2020-01-12
12-01-2020_05:46:08_65_1,65,1,2020-01-12
12-01-2020_16:30:46_38_3,38,3,2020-01-12
12-01-2020_14:51:17_39_2,39,2,2020-01-12
12-01-2020_09:03:44_53_2,53,2,2020-01-12
12-01-2020_10:54:58_49_1,49,1,2020-01-12
12-01-2020_18:26:50_20_2,20,2,2020-01-12
12-01-2020_15:16:45_13_2,13,2,2020-01-12
12-01-2020_20:46:32_18_3,18,3,2020-01-12
12-01-2020_08:10:36_6_3,6,3,2020-01-12
12-01-2020_12:10:49_68_1,68,1,2020-01-12
12-01-2020_07:42:57_90_2,90,2,2020-01-12
12-01-2020_01:05:38_80_3,80,3,2020-01-12
12-01-2020_17:29:56_50_1,50,1,2020-01-12
12-01-2020_08:59:47_2_3,2,3,2020-01-12
12-01-2020_02:20:22_45_2,45,2,2020-01-12
12-01-2020_17:59:16_49_1,49,1,2020-01-12
12-01-2020_18:06:22_100_2,100,2,2020-01-12
12-01-2020_06:22:16_47_3,47,3,2020-01-12
12-01-2020_06:59:13_93_2,93,2,2020-01-12
12-01-2020_03:32:31_16_1,16,1,2020-01-12
12-01-2020_01:07:35_53_2,53,2,2020-01-12
12-01-2020_05:42:58_53_2,53,2,2020-01-12
12-01-2020_05:54:57_7_2,7,2,2020-01-12
12-01-2020_14:12:51_8_3,8,3,2020-01-12
12-01-2020_21:51:47_3_1,3,1,2020-01-12
12-01-2020_22:14:30_4_1,4,1,2020-01-12
12-01-2020_19:02:01_81_3,81,3,2020-01-12
12-01-2020_01:41:48_81_1,81,1,2020-01-12
12-01-2020_13:47:38_87_2,87,2,2020-01-12
13-01-2020_11:32:48_26_2,26,2,2020-01-13
13-01-2020_09:51:36_84_3,84,3,2020-01-13
13-01-2020_02:50:30_84_2,84,2,2020-01-13
13-01-2020_11:33:46_79_3,79,3,2020-01-13
13-01-2020_20:04:09_72_1,72,1,2020-01-13
13-01-2020_02:35:01_16_3,16,3,2020-01-13
13-01-2020_21:19:38_4_1,4,1,2020-01-13
13-01-2020_16:57:09_79_1,79,1,2020-01-13
13-01-2020_05:40:55_10_2,10,2,2020-01-13
13-01-2020_21:34:11_34_3,34,3,2020-01-13
13-01-2020_20:51:42_68_1,68,1,2020-01-13
13-01-2020_04:52:26_79_1,79,1,2020-01-13
13-01-2020_12:05:06_18_3,18,3,2020-01-13
13-01-2020_19:12:53_8_2,8,2,2020-01-13
13-01-2020_02:05:16_95_2,95,2,2020-01-13
13-01-2020_04:42:16_2_3,2,3,2020-01-13
13-01-2020_06:28:20_27_1,27,1,2020-01-13
13-01-2020_02:59:10_89_2,89,2,2020-01-13
13-01-2020_13:15:26_64_2,64,2,2020-01-13
13-01-2020_11:01:57_80_3,80,3,2020-01-13
14-01-2020_01:07:02_93_2,93,2,2020-01-14
14-01-2020_20:05:15_15_3,15,3,2020-01-14
14-01-2020_17:19:19_77_3,77,3,2020-01-14
14-01-2020_03:52:46_50_3,50,3,2020-01-14
14-01-2020_20:13:49_70_2,70,2,2020-01-14
14-01-2020_22:42:57_87_3,87,3,2020-01-14
14-01-2020_17:36:07_67_3,67,3,2020-01-14
14-01-2020_01:27:38_30_2,30,2,2020-01-14
14-01-2020_11:15:25_29_1,29,1,2020-01-14
14-01-2020_05:17:08_92_1,92,1,2020-01-14
14-01-2020_18:08:20_31_3,31,3,2020-01-14
14-01-2020_10:32:20_88_3,88,3,2020-01-14
14-01-2020_19:10:09_49_1,49,1,2020-01-14
14-01-2020_10:39:54_9_2,9,2,2020-01-14
14-01-2020_17:12:42_20_1,20,1,2020-01-14
14-01-2020_13:51:04_31_3,31,3,2020-01-14
14-01-2020_21:45:16_40_3,40,3,2020-01-14
14-01-2020_10:06:06_36_3,36,3,2020-01-14
14-01-2020_21:19:17_5_2,5,2,2020-01-14
14-01-2020_08:08:25_65_1,65,1,2020-01-14
14-01-2020_08:55:32_2_3,2,3,2020-01-14
14-01-2020_09:37:26_38_2,38,2,2020-01-14
14-01-2020_08:44:27_1_1,1,1,2020-01-14
14-01-2020_17:55:48_17_2,17,2,2020-01-14
14-01-2020_21:38:37_7_2,7,2,2020-01-14
15-01-2020_23:13:46_27_1,27,1,2020-01-15
15-01-2020_04:55:17_6_1,6,1,2020-01-15
15-01-2020_23:41:24_28_1,28,1,2020-01-15
15-01-2020_22:35:59_17_3,17,3,2020-01-15
15-01-2020_23:30:50_100_2,100,2,2020-01-15
15-01-2020_11:36:41_24_3,24,3,2020-01-15
15-01-2020_06:41:20_3_2,3,2,2020-01-15
15-01-2020_10:20:57_68_3,68,3,2020-01-15
15-01-2020_16:34:09_67_3,67,3,2020-01-15
15-01-2020_10:57:04_8_3,8,3,2020-01-15
15-01-2020_07:48:54_67_1,67,1,2020-01-15
15-01-2020_13:47:53_21_3,21,3,2020-01-15
15-01-2020_14:17:14_25_3,25,3,2020-01-15
15-01-2020_09:38:43_42_2,42,2,2020-01-15
15-01-2020_12:56:42_4_2,4,2,2020-01-15
15-01-2020_16:09:12_9_3,9,3,2020-01-15
15-01-2020_21:27:13_2_3,2,3,2020-01-15
15-01-2020_23:09:32_30_1,30,1,2020-01-15
15-01-2020_14:31:16_5_1,5,1,2020-01-15
15-01-2020_11:54:33_49_1,49,1,2020-01-15
15-01-2020_01:40:37_89_2,89,2,2020-01-15
15-01-2020_12:28:06_69_2,69,2,2020-01-15
15-01-2020_02:08:07_52_3,52,3,2020-01-15
15-01-2020_02:23:24_36_3,36,3,2020-01-15
15-01-2020_13:23:23_98_3,98,3,2020-01-15
15-01-2020_19:35:48_15_2,15,2,2020-01-15
15-01-2020_06:16:37_65_1,65,1,2020-01-15
16-01-2020_18:44:25_65_2,65,2,2020-01-16
16-01-2020_02:54:31_1_3,1,3,2020-01-16
16-01-2020_06:02:55_20_1,20,1,2020-01-16
16-01-2020_04:50:17_42_1,42,1,2020-01-16
16-01-2020_01:19:10_48_1,48,1,2020-01-16
16-01-2020_08:15:41_24_2,24,2,2020-01-16
16-01-2020_07:57:52_78_3,78,3,2020-01-16
16-01-2020_03:48:28_76_1,76,1,2020-01-16
16-01-2020_10:38:45_84_3,84,3,2020-01-16
16-01-2020_20:36:33_57_1,57,1,2020-01-16
16-01-2020_16:45:12_17_3,17,3,2020-01-16
16-01-2020_02:20:30_2_1,2,1,2020-01-16
16-01-2020_06:29:49_82_3,82,3,2020-01-16
16-01-2020_03:27:02_57_1,57,1,2020-01-16
16-01-2020_06:40:44_19_1,19,1,2020-01-16
16-01-2020_01:23:07_58_1,58,1,2020-01-16
16-01-2020_03:06:43_82_2,82,2,2020-01-16
16-01-2020_11:02:21_85_2,85,2,2020-01-16
16-01-2020_21:19:42_2_3,2,3,2020-01-16
16-01-2020_07:32:38_31_1,31,1,2020-01-16
16-01-2020_02:30:40_63_3,63,3,2020-01-16
16-01-2020_10:46:23_82_2,82,2,2020-01-16
16-01-2020_17:51:24_95_2,95,2,2020-01-16
16-01-2020_19:17:37_69_2,69,2,2020-01-16
16-01-2020_18:30:03_18_2,18,2,2020-01-16
16-01-2020_13:06:42_70_3,70,3,2020-01-16
16-01-2020_11:13:39_49_1,49,1,2020-01-16
16-01-2020_07:07:55_41_3,41,3,2020-01-16
16-01-2020_12:02:05_34_2,34,2,2020-01-16
16-01-2020_11:43:09_34_2,34,2,2020-01-16
16-01-2020_13:20:29_15_2,15,2,2020-01-16
16-01-2020_08:55:44_35_2,35,2,2020-01-16
16-01-2020_17:41:55_12_1,12,1,2020-01-16
17-01-2020_17:09:51_97_2,97,2,2020-01-17
17-01-2020_14:03:04_89_2,89,2,2020-01-17
17-01-2020_12:10:35_29_1,29,1,2020-01-17
17-01-2020_17:14:11_19_2,19,2,2020-01-17
17-01-2020_03:19:39_2_3,2,3,2020-01-17
17-01-2020_04:13:19_82_2,82,2,2020-01-17
17-01-2020_17:49:44_16_1,16,1,2020-01-17
17-01-2020_07:44:23_72_3,72,3,2020-01-17
17-01-2020_06:43:16_45_3,45,3,2020-01-17
17-01-2020_21:08:39_70_3,70,3,2020-01-17
17-01-2020_05:29:48_19_1,19,1,2020-01-17
17-01-2020_16:16:12_33_2,33,2,2020-01-17
17-01-2020_03:19:42_100_1,100,1,2020-01-17
17-01-2020_17:52:18_20_1,20,1,2020-01-17
17-01-2020_22:45:28_78_2,78,2,2020-01-17
17-01-2020_06:37:49_98_2,98,2,2020-01-17
17-01-2020_20:48:01_39_2,39,2,2020-01-17
17-01-2020_16:44:16_92_3,92,3,2020-01-17
17-01-2020_16:34:21_26_1,26,1,2020-01-17
17-01-2020_01:28:12_64_1,64,1,2020-01-17
17-01-2020_20:20:58_63_2,63,2,2020-01-17
